drywhite_sales,fortified_sales
1954,2585
2302,3368
3054,3210
2414,3111
2226,3756
2725,4216
2589,5225
3470,4426
2400,3932
3180,3816
4009,3661
3924,3795
2072,2285
2434,2934
2956,2985
2828,3646
2687,4198
2629,4935
3150,5618
4119,5454
3030,3624
3055,2898
3821,3802
4001,3629
2529,2369
2472,2511
3134,3079
2789,3728
2758,4151
2993,4326
3282,5054
3437,5138
2804,3310
3076,3508
3782,3790
3889,3446
2271,2127
2452,2523
3084,3017
2522,3265
2769,3822
3438,4027
2839,4420
3746,5255
2632,4009
2851,3074
3871,3465
3618,3718
2389,1954
2344,2604
2678,3626
2492,2836
2858,4042
2246,3584
2800,4225
3869,4523
3007,2892
3023,2876
3907,3420
4209,3159
2353,2101
2570,2181
2903,2724
2910,2954
3782,4092
2759,3470
2931,3990
3641,4239
2794,2855
3070,2897
3576,3433
4106,3307
2452,1914
2206,2214
2488,2320
2416,2714
2534,3633
2521,3295
3093,4377
3903,4442
2907,2774
3025,2840
3812,2828
4209,3758
2138,1610
2419,1968
2622,2248
2912,3262
2708,3164
2798,2972
3254,4041
2895,3402
3263,2898
3736,2555
4077,3056
4097,3717
2175,1755
3138,2193
2823,2198
2498,2777
2822,3076
2738,3389
4137,4231
3515,3118
3785,2524
3632,2280
4504,2862
4451,3502
2550,1558
2867,1940
3458,2226
2961,2676
3163,3145
2880,3224
3331,4117
3062,3446
3534,2482
3622,2349
4464,2986
5411,3163
2564,1651
2820,1725
3508,2622
3088,2316
3299,2976
2939,3263
3320,3951
3418,2917
3604,2380
3495,2458
4163,2883
4882,2579
2211,1330
3260,1686
2992,2457
2425,2514
2707,2834
3244,2757
3965,3425
3315,3006
3333,2369
3583,2017
4021,2507
4904,3168
2252,1545
2952,1643
3573,2112
3048,2415
3059,2862
2731,2822
3563,3260
3092,2606
3478,2264
3478,2250
4308,2545
5029,2856
2075,1208
3264,1412
3308,1964
3688,2018
3136,2329
2824,2660
3644,2923
4694,2626
2914,2132
3686,1772
4358,2526
5587,2755
2265,1154
3685,1568
3754,1965
3708,2659
3210,2354
3517,2592
3905,2714
3670,2294
4221,2416
4404,2016
5086,2799
5725,2467
2367,1153
3819,1482
4067,1818
4022,2262
3937,2612
4365,2967
4290,3179

